X,Y,Interpolated
-57.7433,-61.8416,470.3228926358802
-57.6633,-61.8416,475.8456262138501
-57.5833,-61.8416,475.0000308157986
-57.5033,-61.8416,442.89862479370146
-57.4233,-61.8416,369.5331551232433
-57.3433,-61.8416,281.9208414514132
-57.2633,-61.8416,196.626748321529
-57.1833,-61.8416,121.96717572046312
-57.1033,-61.8416,62.40489023263245
-57.0233,-61.8416,18.878707051451872
-56.9433,-61.8416,-13.30258763132312
-56.8633,-61.8416,-30.686202145130967
-56.7833,-61.8416,-34.14246247788818
-56.7033,-61.8416,-28.000236622633935
-56.6233,-61.8416,-16.860941547775106
-56.5433,-61.8416,-4.771167705614756
-56.4633,-61.8416,4.465645832270078
-56.3833,-61.8416,9.676707665022775
-56.3033,-61.8416,12.345707775680983
-56.2233,-61.8416,12.952523099429825
-56.1433,-61.8416,11.206371137226009
-56.0633,-61.8416,7.079256916818912
-55.9833,-61.8416,2.1164651160514425
-55.9033,-61.8416,-0.5038244465968998
-55.8233,-61.8416,0.24196905590505863
-55.7433,-61.8416,4.610908408048306
-55.6633,-61.8416,11.554876861201022
-55.5833,-61.8416,18.040143516173845
-55.5033,-61.8416,17.89104649491202
-55.4233,-61.8416,2.409935931521935
-55.3433,-61.8416,-14.736133345590991
-55.2633,-61.8416,-26.595619389669753
-55.1833,-61.8416,-42.80988700775198
-55.1033,-61.8416,-76.56707040275445
-55.0233,-61.8416,-114.81404527535952
-54.9433,-61.8416,-98.13248026894928
-54.8633,-61.8416,-40.250538852512186
-54.7833,-61.8416,18.19989790306413
-54.7033,-61.8416,62.50495531792455
-54.6233,-61.8416,92.31892183148175
-54.5433,-61.8416,106.22534802502283
-54.4633,-61.8416,88.53414822125876
-54.3833,-61.8416,36.26479678673111
-54.3033,-61.8416,-12.319565642876302
-54.2233,-61.8416,-43.4871518953525
-54.1433,-61.8416,-57.367152768505534
-54.0633,-61.8416,-54.43280827679143
-53.9833,-61.8416,-27.477357657266655
-53.9033,-61.8416,31.232509556873897
-53.8233,-61.8416,97.94756706271596
-53.7433,-61.8416,157.74161035291198
-53.6633,-61.8416,204.13407174059972
-53.5833,-61.8416,235.12458159561146
-53.5033,-61.8416,250.52015202867904
-57.7433,-61.7616,413.8407004992635
-57.6633,-61.7616,420.0006291208143
-57.5833,-61.7616,424.72549624291474
-57.5033,-61.7616,399.3542239071708
-57.4233,-61.7616,327.58423996496504
-57.3433,-61.7616,248.14521812765443
