Fecha,Latitud,Longitud,Krill,SSSm,SSTm,Um,Vm,ZOSm,CHLm,OMLm,bat
1993-01-01,-61.8416,-57.7433,3.252878944036735,33.9060639962554,-272.2154899953714,-0.0561540573835372,-0.0079348124563694,-1.6669209860265255,2.103844044757181,17.39555123448372,-245
1993-01-01,-61.8416,-57.6433,1.1494454854294185,33.896908443421125,-272.18613515731784,-0.0561540573835372,0.0262459181249141,-1.6678365413099527,2.095530568838067,15.869625687599182,-300
1993-01-01,-61.8416,-57.5433,0.0,33.88775289058685,-272.1490383839535,-0.0561540573835372,0.037232581526041,-1.669972836971283,2.0623506903542657,18.005921453237534,-243
1993-01-01,-61.8416,-57.4433,0.0,33.89080474153161,-272.1048448365541,-0.0531022064387798,0.0146488845348358,-1.6739402431994677,2.0439569254443755,19.684439554810524,-246
1993-01-01,-61.8416,-57.3433,4.929757287206027,33.88775289058685,-272.060006127879,-0.0512710958719253,0.0018311105668544,-1.6745506133884192,2.043866538383716,19.07406933605671,-278
1993-01-01,-61.8416,-57.2433,10.663290904327807,33.88012326322496,-272.02678032217,-0.0488296151161193,-0.0024414807558059,-1.674855798482895,2.0013526232043626,18.61629167199135,-296
1993-01-01,-61.8416,-57.1433,16.44226370200343,33.87096771039069,-272.0096835483586,-0.0451673939824104,-0.0018311105668544,-1.6751609835773706,1.9927362087625105,18.31110656261444,-325
1993-01-01,-61.8416,-57.0433,22.060252611636205,33.861812157556415,-272.0096835483586,-0.0408948026597499,-0.0006103701889514,-1.6754661686718464,1.9621937681828971,18.005921453237534,-356
1993-01-01,-61.8416,-56.9433,26.285533071775863,33.84044920094311,-272.02387709642846,-0.0311288796365261,0.0030518509447574,-1.6763817239552736,1.9357195215192688,17.39555123448372,-371
1993-01-01,-61.8416,-56.8433,29.910713193560323,33.82824179716408,-272.04484483789525,-0.0238044373691082,0.0103762932121753,-1.6769920941442251,1.8835661316065972,16.785181015729904,-412
1993-01-01,-61.8416,-56.7433,34.68936781559915,33.81756031885743,-272.0629093536205,-0.0146488845348358,0.0225836969912052,-1.678212834522128,1.814485483139656,16.479995906352997,-464
1993-01-01,-61.8416,-56.6433,40.51148253280901,33.80840476602316,-272.0783932242422,-0.0042725913226604,0.0366222113370895,-1.6803491301834583,1.7457523300460227,16.479995906352997,-507
1993-01-01,-61.8416,-56.5433,45.03808972001347,33.802301064133644,-272.0867803208289,0.0067140720784664,0.0476088747382164,-1.68309579603374,1.6679916203282454,16.63258846104145,-563
1993-01-01,-61.8416,-56.4433,42.73867257191654,33.79467143677175,-272.0906512884843,0.0299081392586231,0.0549333170056343,-1.6901150532066822,1.620033940879217,16.937773570418358,-717
1993-01-01,-61.8416,-56.3433,33.35022110978462,33.79314551129937,-272.0900061272084,0.0408948026597499,0.0524918362498283,-1.6934720892459154,1.5692862588696044,17.09036612510681,-932
1993-01-01,-61.8416,-56.2433,20.012840696454404,33.79314551129937,-272.0841996757253,0.0494399853050708,0.0476088747382164,-1.6968291252851486,1.5131964716327746,17.09036612510681,-609
1993-01-01,-61.8416,-56.1433,4.122783147432574,33.79467143677175,-272.07355451467294,0.0555436871945858,0.0408948026597499,-1.699880976229906,1.5274733382515435,17.09036612510681,-1001
1993-01-01,-61.8416,-56.0433,0.0,33.79772328771651,-272.05807064405127,0.0579851679503917,0.0329599902033805,-1.702322456985712,1.4970488100274162,17.242958679795265,-1233
1993-01-01,-61.8416,-55.9433,0.0,33.8053529150784,-272.0390383864122,0.0567644275724887,0.0225836969912052,-1.7062898632138968,1.4559113124824383,17.242958679795265,-1692
1993-01-01,-61.8416,-55.8433,0.0,33.80993069149554,-272.0222641932387,0.0543229468166828,0.0225836969912052,-1.7078157886862757,1.4284261578860988,17.548143789172173,-2103
1993-01-01,-61.8416,-55.7433,0.0,33.814508467912674,-272.0122641934622,0.0524918362498283,0.0244148075580596,-1.70964689925313,1.3865513984385467,17.700736343860626,-2495
1993-01-01,-61.8416,-55.6433,0.0,33.82061216980219,-272.0112964515484,0.0500503554940223,0.0280770286917686,-1.7114780098199844,1.404895854802967,17.85332889854908,-2670
1993-01-01,-61.8416,-55.5433,0.0,33.825189946219325,-272.0193609674972,0.0482192449271678,0.0354014709591865,-1.7139194905757904,1.357091497778954,17.85332889854908,-2312
1993-01-01,-61.8416,-55.4433,0.0,33.84655290283263,-272.0341996768429,0.0463881343603134,0.0616473890841007,-1.720328377559781,1.312384968747777,17.85332889854908,-1052
1993-01-01,-61.8416,-55.3433,0.0,33.88317511416972,-272.0538770957579,0.0439466536045074,0.074465163052082,-1.7249061539769173,1.2357398927719614,16.479995906352997,-1363
1993-01-01,-61.8416,-55.2433,0.0,33.95031583495438,-272.07355451467294,0.033570360392332,0.0762962736189365,-1.7303994856774807,1.162974905051121,16.327403351664543,-2042
1993-01-01,-61.8416,-55.1433,0.0,34.03424173593521,-272.09516741741567,0.0170903652906417,0.0610370188951492,-1.7352824471890926,1.1182085124147894,16.479995906352997,-2039
1993-01-01,-61.8416,-55.0433,0.2679807971228177,34.10443430766463,-272.12419967483123,0.0,0.038453321903944,-1.7392498534172771,1.1034152582031076,17.09036612510681,-2096
1993-01-01,-61.8416,-54.9433,0.4659623288746284,34.16699725203216,-272.16710289967875,-0.0158696249127388,0.0164799951016902,-1.7435224447399378,1.0919690725519429,19.684439554810524,-1568
1993-01-01,-61.8416,-54.8433,0.4287363132148626,34.174626879394054,-272.22968354344124,-0.0183111056685447,0.0140385143458843,-1.7450483702123163,1.101419402485927,19.837032109498978,-1272
