CHLm,OMLm,SSSm,SSTm,Um,Vm,ZOSm,Longitud,Latitud,Krill
0.05448330284707481,106.25762176513672,33.938941955566406,1.0114023685455322,-0.0363713577389717,-0.0017161674331873,-1.406782150268555,-67.0,-65.15625,2.270594
0.05448330284707481,105.86424255371094,33.943992614746094,1.0098707675933838,-0.0354112535715103,-0.0017161674331873,-1.4079906940460205,-66.9,-65.15625,1.8015606
0.05448330284707481,104.8905792236328,33.94766998291016,1.0094544887542725,-0.0365586429834365,-0.0013752221129834,-1.408665657043457,-66.8,-65.15625,1.36069
0.056867247621994466,101.9864273071289,33.95182037353516,1.0010299682617188,-0.0403378009796142,-0.0013752221129834,-1.4083247184753418,-66.7,-65.15625,0.61707246
0.056867247621994466,97.84759521484376,33.952388763427734,0.9996799230575562,-0.0408404879271984,0.0005893012275919,-1.4074935913085938,-66.6,-65.15625,0.8436624
0.056867247621994466,96.3572235107422,33.9542121887207,1.0021268129348757,-0.0393319576978683,0.0022938372567296,-1.4062825441360474,-66.5,-65.15625,0.9337789
0.056867247621994466,96.54580688476562,33.95460510253906,1.006190538406372,-0.0356106795370578,0.0029484941624104,-1.4046630859375,-66.4,-65.15625,1.1535287
0.058343738373878296,99.41545867919922,33.954612731933594,1.0138710737228394,-0.0301692876964807,0.0080800177529454,-1.402562975883484,-66.3,-65.15625,1.2453759
0.058343738373878296,109.84579467773438,33.948028564453125,1.0231003761291504,-0.0170504506677389,0.0080800177529454,-1.3966906070709229,-66.2,-65.15625,2.1671972
0.058343738373878296,113.1112060546875,33.93975830078125,1.023951292037964,-0.0113903814926743,0.012413278222084,-1.3931748867034912,-66.1,-65.15625,2.9754996
0.058343738373878296,113.09100341796876,33.92859649658203,1.0268268585205078,-0.0091930823400616,0.0168190319091081,-1.389718532562256,-66.0,-65.15625,2.3859386
0.058343738373878296,113.61678314208984,33.917213439941406,1.0262689590454102,-0.0119705190882086,0.0206904541701078,-1.3865772485733032,-65.9,-65.15625,1.8646239
