Fecha,Latitud,Longitud,Krill,EKEm,SIFm,SSSm,SSTm,Um,Vm,ZOSm,chlm,bat
1996-12-01,-61.8416,-57.7433,475.2722803855698,0.0326305524269575,0.0,34.017456555739045,0.0870906687311815,-0.0183111056685447,0.0140385143458843,-1.6553239524364471,0.1444842666387558,-245
1996-12-01,-61.8416,-57.6433,483.6827564458624,0.0804763314725197,0.0,33.896908443421125,0.1258003452853076,0.0524918362498283,0.0469985045492649,-1.6971343103796244,0.1456375569105148,-300
1996-12-01,-61.8416,-57.5433,476.0896743463501,0.1205168171257467,0.0,33.82824179716408,0.1606390541840211,0.0689718313515186,0.0653096102178096,-1.6934720892459154,0.1476292014122009,-243
1996-12-01,-61.8416,-57.4433,395.5937562063789,0.0769017994474657,0.0,33.945738058537245,0.1877358277719094,0.0024414807558059,0.0457777641713619,-1.703543197363615,0.1547814458608627,-246
1996-12-01,-61.8416,-57.3433,287.0133325723469,0.3078444874039742,0.0,33.95336768589914,0.2051551822212662,0.2124088257551193,0.0311288796365261,-1.6696676518768072,0.1620800346136093,-278
1996-12-01,-61.8416,-57.2433,182.30053439606093,0.1849129558108875,0.0,34.01440470479429,0.2125745368941403,0.1287881098687648,0.0280770286917686,-1.6510513611137867,0.1921049058437347,-296
1996-12-01,-61.8416,-57.1433,95.934166811275,0.0842399315556217,0.0,33.93963435664773,0.2151551819977487,0.0415051728487014,0.0329599902033805,-1.7041535675525663,0.1945869773626327,-325
1996-12-01,-61.8416,-57.0433,33.87216217922581,0.0384581658067035,0.0,34.02356025762856,0.2112842143423361,-0.0189214758574962,0.037232581526041,-1.651966916397214,0.1943068206310272,-356
1996-12-01,-61.8416,-56.9433,0.0,0.0627465304186715,0.0,33.98693804629147,0.2058003434971683,-0.0061037018895149,0.033570360392332,-1.7078157886862757,0.2687791585922241,-371
1996-12-01,-61.8416,-56.8433,0.0,0.0517988207392023,0.0,34.10443430766463,0.1922519567032241,0.033570360392332,0.0292977690696716,-1.6550187673419714,0.1833513081073761,-412
1996-12-01,-61.8416,-56.7433,0.0,0.2729781299737255,0.0,33.8557084556669,0.1735422797020632,0.19226660951972,0.0256355479359626,-1.5637684240937233,0.1890211105346679,-464
1996-12-01,-61.8416,-56.6433,0.0,0.0393676942816369,0.0,34.15478984825313,0.1503164737695875,-0.0268562883138656,0.0244148075580596,-1.7209387477487326,0.2508808374404907,-507
1996-12-01,-61.8416,-56.5433,0.0,,0.0,,0.1232197001816992,,0.0250251777470111,,0.2808694839477539,-563
1996-12-01,-61.8416,-56.4433,6.589694411836355,0.0783797081333913,0.0,34.22803427092731,0.096445507231762,0.0445570237934589,0.0317392498254776,-1.7285683751106262,0.1997877806425094,-717
1996-12-01,-61.8416,-56.3433,12.689257331610746,0.1095474214058215,0.0,34.054078767076135,0.0699938949197758,0.0665303505957126,0.038453321903944,-1.6592913586646318,0.2061522901058197,-932
1996-12-01,-61.8416,-56.2433,14.520150226143013,0.1513028784031179,0.0,33.8557084556669,0.0516067985565659,0.1025421917438507,0.0463881343603134,-1.5189062152057886,0.1989880502223968,-609
1996-12-01,-61.8416,-56.1433,11.88559372264291,0.2380052441808824,0.0,34.06323431991041,0.0445100245216427,0.1416058838367462,0.0524918362498283,-1.70964689925313,0.1951159238815307,-1001
1996-12-01,-61.8416,-56.0433,5.516995384108143,0.5199329461323313,0.0,33.97473064251244,0.0480584115391043,0.3662221133708954,0.0543229468166828,-1.602221745997667,0.2120094746351242,-1233
1996-12-01,-61.8416,-55.9433,1.0007422461713482,0.1403639115858454,0.0,34.054078767076135,0.0599938951432932,0.0494399853050708,0.0451673939824104,-1.6983550507575274,0.1922082602977752,-1692
1996-12-01,-61.8416,-55.8433,3.616720493245672,0.2572983659014042,0.0,33.93963435664773,0.0728971206613352,0.1763969846069812,0.0421155430376529,-1.5445417631417513,0.1912278085947036,-2103
1996-12-01,-61.8416,-55.7433,13.025469424730488,0.2006419669437877,0.0,33.84655290283263,0.0751551851269926,0.0701925717294216,0.0433362834155559,-1.4899136312305927,0.1885253638029098,-2495
1996-12-01,-61.8416,-55.6433,25.186106670524392,0.1359934367726887,0.0,34.05560469254851,0.0690261530059226,0.079348124563694,0.0482192449271678,-1.694082459434867,0.1874156892299652,-2670
1996-12-01,-61.8416,-55.5433,29.3150761267202,0.0841558619546406,0.0,33.97167879156768,0.0548326049360764,0.0268562883138656,0.0531022064387798,-1.5335550997406244,0.1822413355112075,-2312
1996-12-01,-61.8416,-55.4433,6.25298216294674,0.2715015519836972,0.0,34.07544172368944,0.0390261536764749,0.1898251287639141,0.0549333170056343,-1.669972836971283,0.1743578314781189,-1052
1996-12-01,-61.8416,-55.3433,0.0,0.0537472455635218,0.0,33.993041748180985,0.027413250710237,-0.0189214758574962,0.0512710958719253,-1.5457625035196545,0.1712460219860077,-1363
1996-12-01,-61.8416,-55.2433,0.0,0.1964140540654959,0.0,33.874019561335444,0.0235422830548244,0.0244148075580596,0.0427259132266044,-1.507614366710186,0.1715830862522125,-2042
1996-12-01,-61.8416,-55.1433,0.0,0.332009965190586,0.0,34.049500990659,0.0228971217789223,0.234382152557373,0.0311288796365261,-1.6223639622330666,,-2039
1996-12-01,-61.8416,-55.0433,0.0,0.0284984710692044,0.0,33.99761952459812,0.0177358315717055,0.0201422162353992,0.0177007354795932,-1.550950650125742,,-2096
1996-12-01,-61.8416,-54.9433,0.0,0.1951906223704421,0.0,34.02661210857332,-0.0041996518089659,0.1355021819472313,-0.0073244422674179,-1.5836054552346468,,-1568
